jaar,1890,1900,1910,1920,1930,1940,1950,1960,1970,1980
een jaar geleden,23.0,48.0,70.0,147.0,597.0,78.0,199.0,368.0,559.0,481.0
twee jaar geleden,20.0,25.0,41.0,53.0,206.0,33.0,157.0,423.0,868.0,936.0
twintig jaar geleden,15.0,6.0,9.0,39.0,90.0,25.0,42.0,63.0,127.0,181.0
paar jaar geleden,13.0,15.0,16.0,25.0,42.0,20.0,34.0,133.0,288.0,298.0
het jaar geleden,13.0,28.0,21.0,26.0,62.0,11.0,25.0,21.0,27.0,20.0
vier jaar geleden,9.0,2.0,8.0,20.0,68.0,8.0,42.0,139.0,339.0,357.0
drie jaar geleden,8.0,15.0,16.0,31.0,97.0,17.0,77.0,209.0,453.0,439.0
dertig jaar geleden,7.0,5.0,4.0,12.0,51.0,16.0,30.0,55.0,59.0,92.0
ongeveer jaar geleden,7.0,3.0,2.0,11.0,27.0,5.0,4.0,12.0,9.0,6.0
tien jaar geleden,6.0,12.0,12.0,30.0,114.0,25.0,65.0,180.0,387.0,459.0
hij jaar geleden,5.0,20.0,8.0,21.0,32.0,3.0,14.0,16.0,15.0,12.0
honderd jaar geleden,5.0,6.0,11.0,19.0,57.0,15.0,23.0,54.0,63.0,59.0
acht jaar geleden,5.0,3.0,3.0,10.0,25.0,5.0,13.0,56.0,100.0,107.0
veertig jaar geleden,4.0,5.0,3.0,11.0,62.0,15.0,23.0,45.0,63.0,63.0
half jaar geleden,4.0,4.0,6.0,19.0,33.0,3.0,26.0,71.0,134.0,138.0
bet jaar geleden,4.0,,2.0,4.0,,,,,,
vijftien jaar geleden,3.0,2.0,3.0,12.0,26.0,2.0,11.0,40.0,102.0,93.0
eea jaar geleden,3.0,3.0,2.0,4.0,3.0,,,,,
vijftig jaar geleden,3.0,4.0,4.0,17.0,62.0,16.0,19.0,44.0,48.0,55.0
zestig jaar geleden,3.0,1.0,1.0,7.0,12.0,6.0,9.0,12.0,27.0,15.0
100 jaar geleden,3.0,,3.0,4.0,11.0,2.0,12.0,26.0,19.0,28.0
hst jaar geleden,3.0,,,,,,,,,
geen jaar geleden,2.0,1.0,2.0,5.0,11.0,5.0,2.0,7.0,22.0,11.0
juist jaar geleden,2.0,4.0,1.0,6.0,16.0,2.0,5.0,2.0,2.0,
heden jaar geleden,2.0,3.0,1.0,1.0,3.0,,1.0,,,
vijf jaar geleden,2.0,6.0,12.0,21.0,79.0,9.0,54.0,105.0,280.0,297.0
zal jaar geleden,2.0,1.0,1.0,1.0,2.0,,,,,
als jaar geleden,2.0,1.0,1.0,1.0,3.0,,4.0,2.0,8.0,4.0
van jaar geleden,2.0,3.0,2.0,10.0,11.0,4.0,15.0,16.0,38.0,32.0
amp jaar geleden,2.0,,,,,,,,,
ruim jaar geleden,2.0,3.0,4.0,4.0,6.0,3.0,13.0,16.0,36.0,27.0
zes jaar geleden,2.0,1.0,3.0,9.0,28.0,2.0,24.0,99.0,128.0,140.0
waarop jaar geleden,2.0,2.0,2.0,,2.0,1.0,3.0,,,
vóór jaar geleden,2.0,,,1.0,,,,,,
dertien jaar geleden,2.0,1.0,1.0,1.0,10.0,2.0,4.0,8.0,25.0,28.0
die jaar geleden,1.0,2.0,4.0,7.0,14.0,3.0,23.0,36.0,43.0,61.0
tbn jaar geleden,1.0,,,,,,,,,
twte jaar geleden,1.0,,,,,,,1.0,,
vgftien jaar geleden,1.0,,,,,,,,,
juni jaar geleden,1.0,,,,1.0,,,,,
üuco jaar geleden,1.0,,,,,,,,,
tevens jaar geleden,1.0,1.0,,,1.0,,1.0,1.0,,
zee jaar geleden,1.0,,,,,,,,,
oiiuiag jaar geleden,1.0,,,,,,,,,
twa jaar geleden,1.0,1.0,,,,,,,,
tachtig jaar geleden,1.0,,1.0,2.0,5.0,3.0,3.0,,3.0,4.0
klein halfjaar geleden,1.0,,,,,,,,1.0,
tot jaar geleden,1.0,,,,1.0,,1.0,,1.0,9.0
één jaar geleden,1.0,,1.0,1.0,4.0,,1.0,2.0,8.0,5.0
maart jaar geleden,1.0,,,1.0,,,,,,
dan jaar geleden,1.0,2.0,5.0,6.0,15.0,4.0,8.0,9.0,12.0,13.0
dertij jaar geleden,1.0,,,,,,,,,
liet jaar geleden,1.0,1.0,,,1.0,,2.0,,,
derd jaar geleden,1.0,,,,,,,,1.0,1.0
reeds jaar geleden,1.0,,3.0,4.0,8.0,3.0,4.0,6.0,3.0,2.0
heeft jaar geleden,1.0,,,,4.0,,2.0,2.0,1.0,3.0
paa jaar geleden,1.0,,,,,,,,,
ken jaar geleden,1.0,,,9.0,9.0,1.0,,1.0,2.0,2.0
vijtiig jaar geleden,1.0,,,,,,,,,
rnim jaar geleden,1.0,,,,,,,,,
dat jaar geleden,1.0,5.0,3.0,5.0,17.0,2.0,15.0,21.0,27.0,21.0
300 jaar geleden,1.0,1.0,,2.0,5.0,3.0,3.0,8.0,12.0,11.0
vijfentwintig jaar geleden,1.0,3.0,3.0,,2.0,,10.0,9.0,31.0,22.0
ien jaar geleden,1.0,,1.0,,1.0,,,,1.0,
rdftig jaar geleden,1.0,,,,,,,,,
hadden jaar geleden,1.0,,,,,,,1.0,,
ploegbaas jaar geleden,1.0,,,,,,,,,
zevenhonderd jaar geleden,1.0,,,,,1.0,1.0,,1.0,
zrj jaar geleden,1.0,,,,,,,,,
sul jaar geleden,1.0,,,,,,,,,
jjjaar jaar geleden,1.0,,,,,,,,,
anderhalf jaar geleden,1.0,1.0,5.0,14.0,33.0,4.0,27.0,74.0,163.0,136.0
voor jaar geleden,1.0,,,1.0,,,,,1.0,
bijna jaar geleden,1.0,,1.0,5.0,2.0,2.0,8.0,13.0,8.0,10.0
dai jaar geleden,1.0,,,,,,,,,
van rtjaar geleden,1.0,,,,,,,,,
zestien jaar geleden,1.0,,,1.0,4.0,1.0,2.0,9.0,13.0,23.0
tra jaar geleden,1.0,,,1.0,,,,,,
eeu jaar geleden,1.0,,,,2.0,,,,,
éntwintig jaar geleden,1.0,,,,,,,,,
omd jaar geleden,1.0,,,,,,,,,
vyftig jaar geleden,1.0,,,,,1.0,,1.0,,
ruiiu jaar geleden,1.0,,,,,,,,,
esiig jaar geleden,1.0,,,,,,,,,
vijfentvviiitig jaar geleden,1.0,,,,,,,,,
uteei jaar geleden,1.0,,,,,,,,,
rüftig jaar geleden,1.0,,,,,,,,,
zooveel jaar geleden,1.0,,,,,,,,,
echoaoiidri jaar geleden,1.0,,,,,,,,,
tier jaar geleden,1.0,,1.0,,,,,1.0,,
lngelanddertig jaar geleden,1.0,,,,,,,,,
tüfenlwintig jaar geleden,1.0,,,,,,,,,
sarissontwee jaar geleden,1.0,,,,,,,,,
hat jaar geleden,1.0,,,,,,,,,
ook jaar geleden,1.0,,,1.0,2.0,,1.0,2.0,3.0,
kenentwintig jaar geleden,1.0,,,,,,,,,
fentwintig jaar geleden,1.0,,,,,,,,,
lerd jaar geleden,1.0,,,,,,,,,
gisteren jaar geleden,1.0,,,,,,,,2.0,
achttien jaar geleden,1.0,1.0,,3.0,8.0,,3.0,7.0,11.0,5.0
werden jaar geleden,1.0,,,1.0,,,,1.0,1.0,
zeven jaar geleden,,5.0,4.0,4.0,22.0,4.0,24.0,37.0,102.0,103.0
ecu jaar geleden,,2.0,,1.0,1.0,,,,,
vijl jaar geleden,,2.0,1.0,,,,,2.0,,
men jaar geleden,,2.0,,2.0,1.0,2.0,1.0,2.0,2.0,1.0
anderhall jaar geleden,,2.0,,,,,,,3.0,
negen jaar geleden,,2.0,4.0,8.0,15.0,,14.0,18.0,35.0,38.0
paai jaar geleden,,2.0,,,1.0,,1.0,1.0,,
dus jaar geleden,,2.0,1.0,,5.0,1.0,1.0,2.0,,1.0
bel jaar geleden,,1.0,,,,,,,,
t7j jaar geleden,,1.0,,,,,,,,
iin jaar geleden,,1.0,,,,,,,,
jaar jaar geleden,,1.0,,1.0,2.0,,1.0,1.0,3.0,1.0
zij jaar geleden,,1.0,,2.0,8.0,1.0,3.0,10.0,12.0,8.0
iwie jaar geleden,,1.0,,,,,,,,
toen jaar geleden,,1.0,1.0,,2.0,1.0,,5.0,5.0,6.0
vnn jaar geleden,,1.0,,,,,,,,
nederl jaar geleden,,1.0,,,,,,,,
bho jaar geleden,,1.0,,,,,,,,
zll jaar geleden,,1.0,,,,,,,,
hel jaar geleden,,1.0,,,1.0,,,,,
naar jaar geleden,,1.0,,,1.0,,,1.0,,1.0
deze 26jaar geleden,,1.0,,,,,,,,
nmoeder jaar geleden,,1.0,,,,,,,,
ïoo jaar geleden,,1.0,,,,,,,,
esa jaar geleden,,1.0,,,,,,,,
maar jaar geleden,,1.0,,,1.0,,1.0,4.0,1.0,4.0
zijn jaar geleden,,1.0,,3.0,,,1.0,1.0,2.0,2.0
twaalfeneenhalf jaar geleden,,1.0,1.0,,,,1.0,1.0,,
and jaar geleden,,1.0,,,,,,,,
lenacht jaar geleden,,1.0,,,,,,,,
rtig jaar geleden,,1.0,,,1.0,,,,,
was jaar geleden,,1.0,,4.0,4.0,,5.0,10.0,4.0,14.0
dtie jaar geleden,,1.0,,,,,,,,
veettig jaar geleden,,1.0,,,,,,,,
november jaar geleden,,1.0,,,,,,,,1.0
ande halfjaar geleden,,1.0,,,,,,,,
bekende jaar geleden,,1.0,,,,,,,,
driehonderd jaar geleden,,1.0,,2.0,4.0,,2.0,5.0,4.0,5.0
isoi jaar geleden,,1.0,,,,,,,,
evenals jaar geleden,,1.0,,1.0,,,1.0,2.0,,
1000 jaar geleden,,1.0,,,,,1.0,,1.0,
190 jaar geleden,,1.0,,,,,,,,
bonden jaar geleden,,1.0,,,,,,,,
itn jaar geleden,,1.0,,,,,,,,
afrekening eaajaar geleden,,1.0,,,,,,,,
andronir jaar geleden,,1.0,,,,,,,,
dna jaar geleden,,1.0,,,,,,,,
noorwt jaar geleden,,1.0,,,,,,,,
volk jaar geleden,,1.0,,,,1.0,,,,
t_rnod jaar geleden,,1.0,,,,,,,,
bij jaar geleden,,1.0,3.0,2.0,,,1.0,,1.0,
vijfenzeventig jaar geleden,,1.0,,,1.0,,,,1.0,
deitig jaar geleden,,1.0,,,,,,,,
tweo jaar geleden,,1.0,,1.0,,,,1.0,,
gmstig jaar geleden,,1.0,,,,,,,,
zeventig jaar geleden,,1.0,1.0,2.0,8.0,4.0,3.0,4.0,11.0,7.0
entwini gjaar geleden,,1.0,,,,,,,,
oageveer jaar geleden,,1.0,,,,,,,,
bal jaar geleden,,1.0,,,,,,,,
ijftier jaar geleden,,1.0,,,,,,,,
zoowat jaar geleden,,1.0,,,,,,,,
terveld jaar geleden,,1.0,,,,,,,,
lat jaar geleden,,1.0,,,,,,,,
schoosrea jaar geleden,,1.0,,,,,,,,
400 jaar geleden,,1.0,,1.0,2.0,1.0,4.0,12.0,12.0,12.0
ren jaar geleden,,1.0,,,2.0,1.0,,,1.0,
zevcncndertig jaar geleden,,1.0,,,,,,,,
april jaar geleden,,1.0,,,1.0,,1.0,,,
den jaar geleden,,1.0,,,,2.0,,,1.0,
zookit jaar geleden,,1.0,,,,,,,,
maand jaar geleden,,1.0,,2.0,,,,,3.0,
kleine jaar geleden,,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0
wee jaar geleden,,1.0,,,,,1.0,2.0,,
blad lokijaar geleden,,1.0,,,,,,,,
bedes jaar geleden,,1.0,,,,,,,,
reeds vijfjaar geleden,,1.0,,,,,,,,
aritocratiehonderd jaar geleden,,1.0,,,,,,,,
cktg jaar geleden,,1.0,,,,,,,,
luiodu jaar geleden,,1.0,,,,,,,,
hoe jaar geleden,,1.0,1.0,,,,,,1.0,2.0
loenenbijna jaar geleden,,1.0,,,,,,,,
ytarar jaar geleden,,1.0,,,,,,,,
otenale jaar geleden,,1.0,,,,,,,,
andeihalt jaar geleden,,1.0,,,,,,,,
jubileum jaar geleden,,1.0,,,,,,,,
van vijfjaar geleden,,1.0,,,,,,,,
aaar jaar geleden,,1.0,,,,,,,,
beden jaar geleden,,1.0,,,,,,,,
soa jaar geleden,,1.0,,,,,,,,
elf jaar geleden,,1.0,,2.0,7.0,2.0,5.0,15.0,33.0,33.0
hens jaar geleden,,1.0,,,,,,,,
ree jaar geleden,,1.0,,,,,,,,
wij jaar geleden,,1.0,,,,,2.0,,,
donderdag jaar geleden,,1.0,1.0,,,,1.0,,,
werd jaar geleden,,1.0,,4.0,4.0,3.0,2.0,7.0,18.0,14.0
ben jaar geleden,,,2.0,,,,,,,1.0
tweehonderd jaar geleden,,,2.0,1.0,1.0,2.0,2.0,4.0,1.0,11.0
