jaar,1890,1900,1910,1920,1930,1940,1950,1960,1970,1980
een jaar geleden,0.29472731802907487,0.6163556521065271,0.6913811048704638,1.2998456773693896,3.1523529487149085,1.9198827512835461,2.380132149481915,2.8880489043994206,2.6481755981647166,2.395774173131044
twee jaar geleden,0.2562846243731086,0.32101856880548285,0.40495178999555737,0.4686518428610725,1.0877465786185447,0.8122580870815003,1.8777927008475412,3.3196866482634646,4.112015061193156,4.662047039606356
twintig jaar geleden,0.19221346827983146,0.07704445651331589,0.08889185634048821,0.3448570164449401,0.4752290877459661,0.6153470356678034,0.5023394486343741,0.49442141569881387,0.6016427566492291,0.9015283271033658
paar jaar geleden,0.1665850058425206,0.1926111412832897,0.1580299668275346,0.22106219002880778,0.22177357428145084,0.4922776285342426,0.40665574413258854,1.0437785442530514,1.364355227676992,1.4842842070541602
het jaar geleden,0.1665850058425206,0.3595407970621408,0.20741433146113916,0.22990467762996006,0.3273800382249989,0.2707526956938334,0.29901157656807975,0.16480713856627127,0.12790830259471797,0.09961638973517854
vier jaar geleden,0.11532808096789887,0.02568148550443863,0.0790149834137673,0.1768497520230462,0.3590619774080633,0.19691105141369705,0.5023394486343741,1.090866298129129,1.6059597992447925,1.778152556772937
drie jaar geleden,0.10251384974924344,0.1926111412832897,0.1580299668275346,0.2741171156357216,0.5121913501262079,0.4184359842541063,0.9209556558296857,1.6402234266833666,2.1460170768669347,2.186579754687169
dertig jaar geleden,0.08969961853058801,0.06420371376109657,0.03950749170688365,0.10610985121382772,0.2692964830560474,0.3938221028273941,0.35881389188169577,0.43163774386404385,0.27950332789216153,0.45823539278182135
ongeveer jaar geleden,0.08969961853058801,0.038522228256657944,0.019753745853441824,0.09726736361267542,0.14256872632378984,0.12306940713356065,0.04784185225089276,0.09417550775215502,0.042636100864906,0.029884916920553565
tien jaar geleden,0.07688538731193258,0.15408891302663177,0.11852247512065095,0.2652746280345693,0.6019568444782237,0.6153470356678034,0.7774300990770074,1.4126326162823253,1.8333523371909577,2.2861961444223478
hij jaar geleden,0.06407115609327715,0.2568148550443863,0.0790149834137673,0.18569223962419854,0.16897034230967684,0.07384164428013638,0.1674464828781247,0.12556734366954003,0.07106016810817666,0.05976983384110713
honderd jaar geleden,0.06407115609327715,0.07704445651331589,0.10864560219393002,0.1680072644218939,0.30097842223911186,0.36920822140068194,0.2750906504426334,0.4237897848846976,0.298452706054342,0.29386834971877673
