jaar,1890,1900,1910,1920,1930,1940,1950,1960,1970,1980
een jaar geleden,1.9532812492303646,4.02452343354229,4.616016958982534,8.808140543409543,21.769381011899902,13.22587367493278,16.063401195149336,19.510506832070522,17.898571898883507,16.158799951436254
twee jaar geleden,1.6985054341133607,2.096105954969943,2.703667075975485,3.1757241415013997,7.5117127109738355,5.5955619393946385,12.673135616273598,22.426479320559324,27.79241575712144,31.44415125684893
twintig jaar geleden,1.2738790755850204,0.5030654291927863,0.5934878947263259,2.3368536135576337,3.2818162329497342,4.2390620752989685,3.3902655788757396,3.3401139413598995,4.066401844647952,6.0805463434718545
paar jaar geleden,1.1040285321736845,1.2576635729819656,1.0550895906245794,1.4979830856138676,1.531514242043209,3.3912496602391746,2.7445007067089318,7.05135165398201,9.221446702823703,10.011065250577971
het jaar geleden,1.1040285321736845,2.3476386695663356,1.3848050876947606,1.5579024090384226,2.2608067382542614,1.8651873131315462,2.0180152255212733,1.1133713137866332,0.8645106283897221,0.6718835738642933
vier jaar geleden,0.7643274453510123,0.1676884763975954,0.5275447953122897,1.1983864684910943,2.4795944871175766,1.3564998640956698,3.3902655788757396,7.3694577436353335,10.8544112231154,11.993121793477638
drie jaar geleden,0.6794021736453443,1.2576635729819656,1.0550895906245794,1.8574990261611959,3.537068606623602,2.8825622112032985,6.215486894605522,11.080695456257443,14.504567209649784,14.74784444632124
dertig jaar geleden,0.5944769019396763,0.4192211909939885,0.26377239765614485,0.7190318810946565,1.8596958653381828,2.7129997281913396,2.4216182706255283,2.915972488488801,1.889115817592356,3.0906644397757495
ongeveer jaar geleden,0.5944769019396763,0.25153271459639315,0.13188619882807243,0.6591125576701018,0.9845448698849202,0.8478124150597937,0.3228824360834038,0.6362121793066475,0.28817020946324073,0.201565072159288
tien jaar geleden,0.5095516302340082,1.0061308583855726,0.7913171929684345,1.7975797027366414,4.156967228402997,4.2390620752989685,5.2468395863553114,9.543182689599712,12.391319006919352,15.41972802018553
hij jaar geleden,0.4246263585283402,1.676884763975954,0.5275447953122897,1.258305791915649,1.1668679939376831,0.5086874490358761,1.1300885262919134,0.8482829057421967,0.48028368243873454,0.403130144318576
honderd jaar geleden,0.4246263585283402,0.5030654291927863,0.7253740935543983,1.1384671450665393,2.0784836142014984,2.5434372451793807,1.8565740074795716,2.8629548068799138,2.0171914662426853,1.9820565428996657
acht jaar geleden,0.4246263585283402,0.25153271459639315,0.19782929824210863,0.5991932342455472,0.9116156202638149,0.8478124150597937,1.0493679172710622,2.968990170097688,3.2018912162582303,3.5945771201739696
veertig jaar geleden,0.33970108682267214,0.4192211909939885,0.19782929824210863,0.6591125576701018,2.2608067382542614,2.5434372451793807,1.8565740074795716,2.385795672399928,2.0171914662426853,2.1164332576725244
half jaar geleden,0.33970108682267214,0.3353769527951908,0.39565859648421725,1.1384671450665393,1.2033326187482358,0.5086874490358761,2.0987358345421243,3.7642553942309975,4.2905342297860285,4.635996659663624
bet jaar geleden,0.33970108682267214,,0.13188619882807243,0.23967729369821886,,,,,,
vijftien jaar geleden,0.2547758151170041,0.1676884763975954,0.19782929824210863,0.7190318810946565,0.9480802450743676,0.33912496602391745,0.8879266992293603,2.1207072643554916,3.265929040583395,3.124258618468964
eea jaar geleden,0.2547758151170041,0.25153271459639315,0.13188619882807243,0.23967729369821886,0.1093938744316578,,,,,
vijftig jaar geleden,0.2547758151170041,0.3353769527951908,0.26377239765614485,1.01862849821743,2.2608067382542614,2.7129997281913396,1.5336915713961679,2.3327779907910404,1.5369077838039504,1.8476798281268068
zestig jaar geleden,0.2547758151170041,0.0838442381987977,0.06594309941403621,0.41943526397188297,0.4375754977266312,1.0173748980717523,0.7264854811876584,0.6362121793066475,0.8645106283897221,0.50391268039822
100 jaar geleden,0.2547758151170041,,0.19782929824210863,0.23967729369821886,0.4011108729160786,0.33912496602391745,0.9686473082502112,1.3784597218310695,0.6083593310890637,0.9406370034100107
hst jaar geleden,0.2547758151170041,,,,,,,,,
geen jaar geleden,0.16985054341133607,0.0838442381987977,0.13188619882807243,0.2995966171227736,0.4011108729160786,0.8478124150597937,0.1614412180417019,0.371123771262211,0.7044160675768106,0.36953596562536134
juist jaar geleden,0.16985054341133607,0.3353769527951908,0.06594309941403621,0.35951594054732827,0.5834339969688416,0.33912496602391745,0.4036030451042547,0.10603536321777458,0.06403782432516461,
heden jaar geleden,0.16985054341133607,0.25153271459639315,0.06594309941403621,0.059919323424554714,0.1093938744316578,,0.08072060902085094,,,
vijf jaar geleden,0.16985054341133607,0.5030654291927863,0.7913171929684345,1.258305791915649,2.880705360033655,1.5260623471076287,4.358912887125951,5.566856568933165,8.965295405523044,9.977471071884757
zal jaar geleden,0.16985054341133607,0.0838442381987977,0.06594309941403621,0.059919323424554714,0.0729292496211052,,,,,
als jaar geleden,0.16985054341133607,0.0838442381987977,0.06594309941403621,0.059919323424554714,0.1093938744316578,,0.3228824360834038,0.10603536321777458,0.25615129730065844,0.13437671477285867
van jaar geleden,0.16985054341133607,0.25153271459639315,0.13188619882807243,0.5991932342455472,0.4011108729160786,0.6782499320478349,1.2108091353127641,0.8482829057421967,1.2167186621781274,1.0750137181828694
amp jaar geleden,0.16985054341133607,,,,,,,,,
ruim jaar geleden,0.16985054341133607,0.25153271459639315,0.26377239765614485,0.23967729369821886,0.2187877488633156,0.5086874490358761,1.0493679172710622,0.8482829057421967,1.152680837852963,0.907042824716796
zes jaar geleden,0.16985054341133607,0.0838442381987977,0.19782929824210863,0.5392739108209924,1.0210094946954729,0.33912496602391745,1.9372946165004223,5.248750479279842,4.098420756810535,4.703185017050053
waarop jaar geleden,0.16985054341133607,0.1676884763975954,0.13188619882807243,,0.0729292496211052,0.16956248301195873,0.2421618270625528,,,
vóór jaar geleden,0.16985054341133607,,,0.059919323424554714,,,,,,
dertien jaar geleden,0.16985054341133607,0.0838442381987977,0.06594309941403621,0.059919323424554714,0.364646248105526,0.33912496602391745,0.3228824360834038,0.42414145287109833,0.8004728040645576,0.9406370034100107
die jaar geleden,0.08492527170566803,0.1676884763975954,0.26377239765614485,0.41943526397188297,0.5105047473477364,0.5086874490358761,1.8565740074795716,1.9086365379199424,1.3768132229910388,2.049244900286095
tbn jaar geleden,0.08492527170566803,,,,,,,,,
twte jaar geleden,0.08492527170566803,,,,,,,0.05301768160888729,,
vgftien jaar geleden,0.08492527170566803,,,,,,,,,
juni jaar geleden,0.08492527170566803,,,,0.0364646248105526,,,,,
üuco jaar geleden,0.08492527170566803,,,,,,,,,
tevens jaar geleden,0.08492527170566803,0.0838442381987977,,,0.0364646248105526,,0.08072060902085094,0.05301768160888729,,
zee jaar geleden,0.08492527170566803,,,,,,,,,
oiiuiag jaar geleden,0.08492527170566803,,,,,,,,,
twa jaar geleden,0.08492527170566803,0.0838442381987977,,,,,,,,
tachtig jaar geleden,0.08492527170566803,,0.06594309941403621,0.11983864684910943,0.182323124052763,0.5086874490358761,0.2421618270625528,,0.0960567364877469,0.13437671477285867
klein halfjaar geleden,0.08492527170566803,,,,,,,,0.032018912162582305,
tot jaar geleden,0.08492527170566803,,,,0.0364646248105526,,0.08072060902085094,,0.032018912162582305,0.30234760823893203
één jaar geleden,0.08492527170566803,,0.06594309941403621,0.059919323424554714,0.1458584992422104,,0.08072060902085094,0.10603536321777458,0.25615129730065844,0.16797089346607333
maart jaar geleden,0.08492527170566803,,,0.059919323424554714,,,,,,
dan jaar geleden,0.08492527170566803,0.1676884763975954,0.32971549707018105,0.35951594054732827,0.546969372158289,0.6782499320478349,0.6457648721668076,0.4771591344799856,0.3842269459509876,0.43672432301179065
dertij jaar geleden,0.08492527170566803,,,,,,,,,
liet jaar geleden,0.08492527170566803,0.0838442381987977,,,0.0364646248105526,,0.1614412180417019,,,
derd jaar geleden,0.08492527170566803,,,,,,,,0.032018912162582305,0.03359417869321467
reeds jaar geleden,0.08492527170566803,,0.19782929824210863,0.23967729369821886,0.2917169984844208,0.5086874490358761,0.3228824360834038,0.31810608965332376,0.0960567364877469,0.06718835738642934
heeft jaar geleden,0.08492527170566803,,,,0.1458584992422104,,0.1614412180417019,0.10603536321777458,0.032018912162582305,0.100782536079644
paa jaar geleden,0.08492527170566803,,,,,,,,,
ken jaar geleden,0.08492527170566803,,,0.5392739108209924,0.32818162329497336,0.16956248301195873,,0.05301768160888729,0.06403782432516461,0.06718835738642934
vijtiig jaar geleden,0.08492527170566803,,,,,,,,,
rnim jaar geleden,0.08492527170566803,,,,,,,,,
dat jaar geleden,0.08492527170566803,0.4192211909939885,0.19782929824210863,0.2995966171227736,0.6198986217793941,0.33912496602391745,1.2108091353127641,1.1133713137866332,0.8645106283897221,0.705477752557508
300 jaar geleden,0.08492527170566803,0.0838442381987977,,0.11983864684910943,0.182323124052763,0.5086874490358761,0.2421618270625528,0.42414145287109833,0.3842269459509876,0.36953596562536134
vijfentwintig jaar geleden,0.08492527170566803,0.25153271459639315,0.19782929824210863,,0.0729292496211052,,0.8072060902085094,0.4771591344799856,0.9925862770400514,0.7390719312507227
ien jaar geleden,0.08492527170566803,,0.06594309941403621,,0.0364646248105526,,,,0.032018912162582305,
rdftig jaar geleden,0.08492527170566803,,,,,,,,,
hadden jaar geleden,0.08492527170566803,,,,,,,0.05301768160888729,,
ploegbaas jaar geleden,0.08492527170566803,,,,,,,,,
zevenhonderd jaar geleden,0.08492527170566803,,,,,0.16956248301195873,0.08072060902085094,,0.032018912162582305,
zrj jaar geleden,0.08492527170566803,,,,,,,,,
sul jaar geleden,0.08492527170566803,,,,,,,,,
jjjaar jaar geleden,0.08492527170566803,,,,,,,,,
anderhalf jaar geleden,0.08492527170566803,0.0838442381987977,0.32971549707018105,0.8388705279437659,1.2033326187482358,0.6782499320478349,2.1794564435629753,3.923308439057659,5.219082682500916,4.568808302277195
voor jaar geleden,0.08492527170566803,,,0.059919323424554714,,,,,0.032018912162582305,
bijna jaar geleden,0.08492527170566803,,0.06594309941403621,0.2995966171227736,0.0729292496211052,0.33912496602391745,0.6457648721668076,0.6892298609155347,0.25615129730065844,0.33594178693214666
dai jaar geleden,0.08492527170566803,,,,,,,,,
van rtjaar geleden,0.08492527170566803,,,,,,,,,
zestien jaar geleden,0.08492527170566803,,,0.059919323424554714,0.1458584992422104,0.16956248301195873,0.1614412180417019,0.4771591344799856,0.4162458581135699,0.7726661099439374
tra jaar geleden,0.08492527170566803,,,0.059919323424554714,,,,,,
eeu jaar geleden,0.08492527170566803,,,,0.0729292496211052,,,,,
éntwintig jaar geleden,0.08492527170566803,,,,,,,,,
omd jaar geleden,0.08492527170566803,,,,,,,,,
vyftig jaar geleden,0.08492527170566803,,,,,0.16956248301195873,,0.05301768160888729,,
ruiiu jaar geleden,0.08492527170566803,,,,,,,,,
esiig jaar geleden,0.08492527170566803,,,,,,,,,
vijfentvviiitig jaar geleden,0.08492527170566803,,,,,,,,,
uteei jaar geleden,0.08492527170566803,,,,,,,,,
rüftig jaar geleden,0.08492527170566803,,,,,,,,,
zooveel jaar geleden,0.08492527170566803,,,,,,,,,
echoaoiidri jaar geleden,0.08492527170566803,,,,,,,,,
tier jaar geleden,0.08492527170566803,,0.06594309941403621,,,,,0.05301768160888729,,
lngelanddertig jaar geleden,0.08492527170566803,,,,,,,,,
tüfenlwintig jaar geleden,0.08492527170566803,,,,,,,,,
sarissontwee jaar geleden,0.08492527170566803,,,,,,,,,
hat jaar geleden,0.08492527170566803,,,,,,,,,
ook jaar geleden,0.08492527170566803,,,0.059919323424554714,0.0729292496211052,,0.08072060902085094,0.10603536321777458,0.0960567364877469,
kenentwintig jaar geleden,0.08492527170566803,,,,,,,,,
fentwintig jaar geleden,0.08492527170566803,,,,,,,,,
lerd jaar geleden,0.08492527170566803,,,,,,,,,
gisteren jaar geleden,0.08492527170566803,,,,,,,,0.06403782432516461,
achttien jaar geleden,0.08492527170566803,0.0838442381987977,,0.17975797027366414,0.2917169984844208,,0.2421618270625528,0.371123771262211,0.3522080337884053,0.16797089346607333
werden jaar geleden,0.08492527170566803,,,0.059919323424554714,,,,0.05301768160888729,0.032018912162582305,
no_trigrams,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0
zeven jaar geleden,,5.0,4.0,4.0,22.0,4.0,24.0,37.0,102.0,103.0
ecu jaar geleden,,2.0,,1.0,1.0,,,,,
vijl jaar geleden,,2.0,1.0,,,,,2.0,,
men jaar geleden,,2.0,,2.0,1.0,2.0,1.0,2.0,2.0,1.0
anderhall jaar geleden,,2.0,,,,,,,3.0,
negen jaar geleden,,2.0,4.0,8.0,15.0,,14.0,18.0,35.0,38.0
paai jaar geleden,,2.0,,,1.0,,1.0,1.0,,
dus jaar geleden,,2.0,1.0,,5.0,1.0,1.0,2.0,,1.0
bel jaar geleden,,1.0,,,,,,,,
t7j jaar geleden,,1.0,,,,,,,,
iin jaar geleden,,1.0,,,,,,,,
jaar jaar geleden,,1.0,,1.0,2.0,,1.0,1.0,3.0,1.0
zij jaar geleden,,1.0,,2.0,8.0,1.0,3.0,10.0,12.0,8.0
iwie jaar geleden,,1.0,,,,,,,,
toen jaar geleden,,1.0,1.0,,2.0,1.0,,5.0,5.0,6.0
vnn jaar geleden,,1.0,,,,,,,,
nederl jaar geleden,,1.0,,,,,,,,
bho jaar geleden,,1.0,,,,,,,,
zll jaar geleden,,1.0,,,,,,,,
hel jaar geleden,,1.0,,,1.0,,,,,
naar jaar geleden,,1.0,,,1.0,,,1.0,,1.0
deze 26jaar geleden,,1.0,,,,,,,,
nmoeder jaar geleden,,1.0,,,,,,,,
ïoo jaar geleden,,1.0,,,,,,,,
esa jaar geleden,,1.0,,,,,,,,
maar jaar geleden,,1.0,,,1.0,,1.0,4.0,1.0,4.0
zijn jaar geleden,,1.0,,3.0,,,1.0,1.0,2.0,2.0
twaalfeneenhalf jaar geleden,,1.0,1.0,,,,1.0,1.0,,
and jaar geleden,,1.0,,,,,,,,
lenacht jaar geleden,,1.0,,,,,,,,
rtig jaar geleden,,1.0,,,1.0,,,,,
was jaar geleden,,1.0,,4.0,4.0,,5.0,10.0,4.0,14.0
dtie jaar geleden,,1.0,,,,,,,,
veettig jaar geleden,,1.0,,,,,,,,
november jaar geleden,,1.0,,,,,,,,1.0
ande halfjaar geleden,,1.0,,,,,,,,
bekende jaar geleden,,1.0,,,,,,,,
driehonderd jaar geleden,,1.0,,2.0,4.0,,2.0,5.0,4.0,5.0
isoi jaar geleden,,1.0,,,,,,,,
evenals jaar geleden,,1.0,,1.0,,,1.0,2.0,,
