date,no_words,een_jaar_geleden,twee_jaar_geleden,drie_jaar_geleden,vier_jaar_geleden,vijf_jaar_geleden,zes_jaar_geleden,zeven_jaar_geleden,acht_jaar_geleden,negen_jaar_geleden,tien_jaar_geleden,honderd_jaar_geleden
1893,6442884,3.104199920408314e-07,3.104199920408314e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.552099960204157e-07,0.0
1894,7236521,1.381879497067721e-07,1.381879497067721e-07,0.0,1.381879497067721e-07,0.0,0.0,0.0,0.0,0.0,1.381879497067721e-07,1.381879497067721e-07
1895,9961784,4.015345042614857e-07,1.0038362606537142e-07,3.0115087819611425e-07,0.0,2.0076725213074285e-07,0.0,0.0,0.0,1.0038362606537142e-07,1.0038362606537142e-07,2.0076725213074285e-07
1896,12949443,2.316701961621052e-07,3.8611699360350866e-07,7.722339872070173e-08,7.722339872070173e-08,7.722339872070173e-08,0.0,7.722339872070173e-08,7.722339872070173e-08,0.0,7.722339872070173e-08,0.0
1897,16856965,4.152586186184761e-07,1.7796797940791833e-07,1.1864531960527889e-07,0.0,5.932265980263944e-08,0.0,0.0,5.932265980263944e-08,0.0,4.7458127842111554e-07,1.7796797940791833e-07
1898,15366564,3.904581401541685e-07,3.904581401541685e-07,2.6030542676944564e-07,0.0,1.3015271338472282e-07,0.0,1.3015271338472282e-07,0.0,0.0,1.3015271338472282e-07,0.0
1899,8529677,3.517132008632918e-07,2.3447546724219453e-07,2.3447546724219453e-07,0.0,1.1723773362109726e-07,0.0,0.0,0.0,0.0,0.0,1.1723773362109726e-07
1900,7622259,1.3119470225296727e-07,1.3119470225296727e-07,1.3119470225296727e-07,1.3119470225296727e-07,0.0,1.3119470225296727e-07,0.0,0.0,0.0,0.0,1.3119470225296727e-07
1901,12111226,6.60544192635824e-07,5.77976168556346e-07,0.0,2.47704072238434e-07,8.2568024079478e-08,0.0,0.0,0.0,0.0,0.0,8.2568024079478e-08
1902,11159540,7.168754267649025e-07,2.6882828503683845e-07,8.960942834561281e-08,0.0,8.960942834561281e-08,8.960942834561281e-08,8.960942834561281e-08,0.0,8.960942834561281e-08,8.960942834561281e-08,1.7921885669122562e-07
1903,8925219,3.361262059788113e-07,1.1204206865960376e-07,2.2408413731920752e-07,1.1204206865960376e-07,0.0,0.0,0.0,1.1204206865960376e-07,0.0,4.4816827463841504e-07,1.1204206865960376e-07
1904,6857633,4.374687300997297e-07,2.916458200664865e-07,1.4582291003324325e-07,2.916458200664865e-07,0.0,1.4582291003324325e-07,0.0,0.0,0.0,2.916458200664865e-07,0.0
1905,3465019,2.8859870609656106e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8859870609656106e-07,2.8859870609656106e-07
1906,5461534,3.6619748224583057e-07,1.8309874112291528e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1907,9856675,9.13086816801812e-07,4.0581636302302755e-07,1.0145409075575689e-07,1.0145409075575689e-07,0.0,0.0,0.0,0.0,0.0,1.0145409075575689e-07,0.0
1908,7681879,9.11235389154138e-07,6.508824208243842e-07,6.508824208243842e-07,0.0,1.3017648416487684e-07,0.0,0.0,0.0,0.0,2.603529683297537e-07,1.3017648416487684e-07
1909,5327332,1.877112220526147e-07,3.754224441052294e-07,0.0,0.0,0.0,0.0,1.877112220526147e-07,0.0,0.0,3.754224441052294e-07,0.0
