,0
1738,1.0
1756,1.0
1764,1.0
1765,2.0
1771,1.0
1776,1.0
1778,2.0
1786,1.0
1803,1.0
1804,1.0
1822,1.0
1823,1.0
1825,2.0
1832,3.0
1833,2.0
1834,2.0
1836,2.0
1842,2.0
1843,1.0
1846,1.0
1852,4.0
1853,8.0
1854,6.0
1855,6.0
1856,7.0
1862,6.0
1863,5.0
1864,4.0
1865,4.0
1866,4.0
1867,5.0
1868,2.0
1869,3.0
1870,2.0
1871,2.0
1872,5.0
1873,3.0
1874,3.0
1875,6.0
1876,2.0
1877,4.0
1878,5.0
1879,4.0
1880,5.0
1881,2.0
1882,6.0
1883,6.0
1884,5.0
1885,7.0
1886,6.0
1887,1.0
1888,2.0
1889,3.0
1892,3.0
1893,1.0
1894,6.0
1895,5.0
1896,7.0
1897,1.0
1902,10.0
1903,17.0
1904,12.0
1905,13.0
1906,9.0
1908,4.0
1909,2.0
1911,1.0
1912,11.0
1913,16.0
1914,14.0
1915,17.0
1916,19.0
1917,6.0
1918,8.0
1919,6.0
1921,6.0
1922,36.0
1923,29.0
1924,25.0
1925,39.0
1926,28.0
1927,2.0
1928,6.0
1929,6.0
1930,5.0
1931,4.0
1932,35.0
1933,34.0
1934,35.0
1935,39.0
1936,32.0
1937,10.0
1938,5.0
1939,9.0
1940,4.0
1942,11.0
1943,13.0
1944,18.0
1945,27.0
1946,14.0
1947,12.0
1948,22.0
1949,17.0
1950,20.0
1951,12.0
1952,33.0
1953,32.0
1954,36.0
1955,44.0
1956,44.0
1957,42.0
1958,64.0
1959,74.0
1960,61.0
1961,88.0
1962,92.0
1963,89.0
1964,103.0
1965,106.0
1966,122.0
1967,122.0
1968,115.0
1969,122.0
1970,114.0
1971,84.0
1972,89.0
1973,111.0
1974,103.0
1975,89.0
1976,133.0
1977,97.0
1978,110.0
1979,97.0
1980,95.0
1981,67.0
1982,87.0
1983,88.0
1984,91.0
1985,89.0
1986,53.0
1987,46.0
