,0
1747,1
1749,2
1750,2
1755,1
1758,2
1761,1
1767,1
1769,1
1770,1
1776,1
1779,2
1781,1
1785,1
1787,2
1789,1
1790,1
1791,1
1793,1
1794,2
1795,1
1798,1
1800,1
1813,1
1827,1
1834,1
1835,1
1836,1
1837,1
1840,2
1841,1
1843,1
1844,1
1846,4
1847,8
1848,8
1849,12
1850,9
1851,2
1852,10
1853,10
1854,10
1855,11
1856,9
1857,8
1858,11
1859,8
1860,9
1861,4
1862,5
1863,4
1864,5
1865,2
1866,4
1867,2
1868,2
1869,5
1870,3
1871,3
1872,3
1873,1
1874,4
1875,3
1876,6
1877,6
1878,3
1879,10
1880,4
1881,5
1882,12
1883,14
1884,6
1885,6
1886,9
1887,12
1888,7
1889,16
1890,9
1891,8
1892,15
1893,20
1894,16
1895,17
1896,4
1897,4
1898,14
1899,11
1900,5
1901,7
1902,13
1903,5
1904,3
1905,12
1906,17
1907,10
1908,7
1909,18
1910,7
1911,3
1912,12
1913,12
1914,8
1915,4
1916,12
1917,21
1918,11
1919,16
1920,16
1921,16
1922,12
1923,16
1924,18
1925,21
1926,21
1927,29
1928,23
1929,18
1930,16
1931,19
1932,18
1933,30
1934,33
1935,27
1936,33
1937,34
1938,34
1939,38
1940,57
1941,50
1942,34
1943,54
1944,97
1945,118
1946,66
1947,57
1948,65
1949,94
1950,69
1951,79
1952,88
1953,91
1954,106
1955,87
1956,87
1957,80
1958,94
1959,100
1960,78
1961,85
1962,91
1963,98
1964,103
1965,76
1966,95
1967,104
1968,126
1969,116
1970,108
1971,110
1972,116
1973,163
1974,164
1975,154
1976,118
1977,127
1978,132
1979,160
1980,178
1981,158
1982,167
1983,161
1984,167
1985,126
1986,108
1987,97
1988,133
1989,143
1990,168
1991,152
1992,123
1993,97
