date	twee_pertrigrams	drie_pertrigrams	vier_pertrigrams	vijf_pertrigrams	zes_pertrigrams	zeven_pertrigrams	acht_pertrigrams	negen_pertrigrams	tien_pertrigrams	elf_pertrigrams	twaalf_pertrigrams	dertien_pertrigrams	veertien_pertrigrams	vijftien_pertrigrams	zestien_pertrigrams	zeventien_pertrigrams	achttien_pertrigrams	negentien_pertrigrams	twintig_pertrigrams	dertig_pertrigrams	veertig_pertrigrams	vijftig_pertrigrams	zestig_pertrigrams	zeventig_pertrigrams	tachtig_pertrigrams	negentig_pertrigrams	honderd_pertrigrams	honderdtien_pertrigrams	honderdtwintig_pertrigrams	honderddertig_pertrigrams	honderdveertig_pertrigrams	honderdvijftig_pertrigrams	honderdzestig_pertrigrams	honderdzeventig_pertrigrams	honderdtachtig_pertrigrams	honderdnegentig_pertrigrams	tweehonderd_pertrigrams
1893-12-31	4.240306658977577e-06	0.0	1.0600766647443942e-06	0.0	1.0600766647443942e-06	1.0600766647443942e-06	0.0	0.0	2.1201533294887885e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.180229994233183e-06	0.0	0.0	0.0	1.0600766647443942e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1894-12-31	2.7349729192098115e-06	0.0	0.0	1.8233152794732077e-06	0.0	0.0	9.116576397366038e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.8233152794732077e-06	1.8233152794732077e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1895-12-31	6.208978058092441e-07	6.208978058092441e-07	6.208978058092441e-07	1.862693417427732e-06	6.208978058092441e-07	0.0	0.0	6.208978058092441e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.4835912232369764e-06	6.208978058092441e-07	1.2417956116184882e-06	6.208978058092441e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1896-12-31	2.5513393255789625e-06	1.5308035953473776e-06	0.0	1.5308035953473776e-06	1.5308035953473776e-06	0.0	1.020535730231585e-06	5.102678651157925e-07	1.5308035953473776e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.102678651157925e-07	2.04107146046317e-06	1.020535730231585e-06	0.0	5.102678651157925e-07	1.020535730231585e-06	0.0	1.020535730231585e-06	0.0	1.020535730231585e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1897-12-31	3.2456046399163934e-06	4.057005799895492e-07	4.057005799895492e-07	2.434203479937295e-06	8.114011599790983e-07	4.057005799895492e-07	4.057005799895492e-07	4.057005799895492e-07	3.6513052199059425e-06	4.057005799895492e-07	1.2171017399686474e-06	4.057005799895492e-07	0.0	4.057005799895492e-07	0.0	0.0	0.0	0.0	4.0570057998954915e-06	2.0285028999477458e-06	8.114011599790983e-07	4.057005799895492e-07	4.057005799895492e-07	4.057005799895492e-07	0.0	0.0	1.6228023199581967e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1898-12-31	2.177123827836531e-06	8.708495311346125e-07	1.3062742967019187e-06	2.177123827836531e-06	0.0	4.3542476556730624e-07	2.177123827836531e-06	4.3542476556730624e-07	1.741699062269225e-06	0.0	0.0	4.3542476556730624e-07	0.0	4.3542476556730624e-07	0.0	0.0	0.0	0.0	2.177123827836531e-06	4.3542476556730624e-07	0.0	0.0	0.0	0.0	0.0	4.3542476556730624e-07	4.3542476556730624e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1899-12-31	1.5318099483397095e-06	1.5318099483397095e-06	2.297714922509564e-06	2.297714922509564e-06	0.0	0.0	0.0	7.659049741698548e-07	7.659049741698548e-07	7.659049741698548e-07	0.0	0.0	0.0	7.659049741698548e-07	0.0	0.0	0.0	0.0	7.659049741698548e-07	1.5318099483397095e-06	7.659049741698548e-07	7.659049741698548e-07	0.0	0.0	0.0	7.659049741698548e-07	1.5318099483397095e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1900-12-31	1.8062343986503816e-06	0.0	9.031171993251908e-07	9.031171993251908e-07	0.0	0.0	0.0	0.0	9.031171993251908e-07	0.0	9.031171993251908e-07	0.0	0.0	9.031171993251908e-07	0.0	0.0	0.0	0.0	1.8062343986503816e-06	0.0	1.8062343986503816e-06	0.0	0.0	0.0	0.0	0.0	9.031171993251908e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1901-12-31	2.8163302090843546e-06	0.0	0.0	1.126532083633742e-06	5.63266041816871e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.63266041816871e-07	1.126532083633742e-06	0.0	0.0	0.0	0.0	0.0	1.126532083633742e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.63266041816871e-07
1902-12-31	1.816648126763284e-06	1.816648126763284e-06	1.2110987511755228e-06	1.2110987511755228e-06	6.055493755877614e-07	0.0	0.0	6.055493755877614e-07	6.055493755877614e-07	0.0	1.2110987511755228e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.816648126763284e-06	3.0277468779388068e-06	6.055493755877614e-07	1.2110987511755228e-06	0.0	0.0	0.0	0.0	6.055493755877614e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
