,0
1715,2.0
1719,1.0
1727,1.0
1732,1.0
1734,2.0
1735,1.0
1738,2.0
1740,1.0
1744,1.0
1749,1.0
1750,1.0
1756,2.0
1764,1.0
1767,1.0
1769,1.0
1770,2.0
1771,1.0
1774,1.0
1777,1.0
1779,2.0
1781,1.0
1782,2.0
1783,2.0
1785,1.0
1786,2.0
1787,1.0
1789,2.0
1790,1.0
1792,1.0
1799,2.0
1800,1.0
1802,1.0
1803,1.0
1809,3.0
1812,2.0
1813,3.0
1814,1.0
1815,4.0
1816,1.0
1819,2.0
1820,5.0
1821,4.0
1823,3.0
1824,4.0
1825,1.0
1829,4.0
1830,9.0
1831,8.0
1832,8.0
1833,14.0
1834,15.0
1835,5.0
1839,10.0
1840,8.0
1841,5.0
1842,8.0
1843,1.0
1844,3.0
1845,1.0
1849,4.0
1850,3.0
1851,1.0
1852,6.0
1853,8.0
1854,6.0
1855,4.0
1856,3.0
1857,4.0
1858,3.0
1859,9.0
1860,6.0
1861,7.0
1862,16.0
1863,10.0
1864,7.0
1865,6.0
1866,6.0
1867,5.0
1868,6.0
1869,15.0
1870,15.0
1871,14.0
1872,15.0
1873,10.0
1874,9.0
1875,10.0
1876,11.0
1877,6.0
1878,9.0
1879,19.0
1880,16.0
1881,18.0
1882,21.0
1883,30.0
1884,17.0
1885,23.0
1886,11.0
1887,16.0
1888,6.0
1889,23.0
1890,14.0
1891,20.0
1892,17.0
1893,17.0
1894,15.0
1895,21.0
1896,3.0
1897,2.0
1898,1.0
1899,24.0
1900,30.0
1901,12.0
1902,23.0
1903,23.0
1904,22.0
1905,30.0
1906,7.0
1907,4.0
1908,12.0
1909,30.0
1910,41.0
1911,28.0
1912,39.0
1913,37.0
1914,60.0
1915,47.0
1916,6.0
1917,9.0
1918,12.0
1919,51.0
1920,64.0
1921,65.0
1922,65.0
1923,72.0
1924,86.0
1925,47.0
1926,22.0
1927,16.0
1928,14.0
1929,30.0
1930,13.0
1931,20.0
1932,30.0
1933,28.0
1934,35.0
1935,24.0
1936,29.0
1937,26.0
1938,24.0
1939,37.0
1940,32.0
1941,30.0
1942,34.0
1943,27.0
1944,63.0
1945,84.0
1946,48.0
1947,78.0
1948,79.0
1949,86.0
1950,104.0
1951,98.0
1952,108.0
1953,122.0
1954,116.0
1955,146.0
1956,186.0
1957,174.0
1958,168.0
1959,201.0
1960,225.0
1961,204.0
1962,198.0
1963,231.0
1964,246.0
1965,276.0
1966,252.0
1967,316.0
1968,326.0
1969,329.0
1970,342.0
1971,340.0
1972,353.0
1973,363.0
1974,393.0
1975,347.0
1976,363.0
1977,368.0
1978,352.0
1979,258.0
1980,309.0
1981,251.0
1982,241.0
1983,236.0
1984,193.0
1985,171.0
1986,94.0
1987,58.0
